Key;Soort Wet.;Soort NL;Code;Schaal
379;Bromus sterilis;IJle dravik;2;Pct
379;Carex nigra;Zwarte zegge;2;Pct
379;Ceratocapnos claviculata;Rankende helmbloem;.5;Pct
379;Dryopteris carthusiana;Smalle stekelvaren;2;Pct
379;Epilobium hirsutum;Harig wilgenroosje;1;Pct
379;Equisetum hyemale;Schaafstro;1;Pct
379;Galium aparine;Kleefkruid;1;Pct
379;Galium palustre;Moeraswalstro;2;Pct
379;Iris pseudacorus;Gele lis;1;Pct
379;Lonicera periclymenum;Wilde kamperfoelie;4;Pct
379;Poa nemoralis;Schaduwgras;2;Pct
379;Rubus fruticosus agg.;Gewone braam;3;Pct
379;Silene dioica;Dagkoekoeksbloem;.2;Pct
379;Solanum dulcamara;Bitterzoet;3;Pct
379;Stellaria media;Vogelmuur;1;Pct
379;Urtica dioica;Grote brandnetel;1;Pct
379;Viburnum opulus;Gelderse roos;2;Pct
380;Carex sylvatica;Boszegge;2;Pct
380;Deschampsia flexuosa;Bochtige smele;1;Pct
380;Dryopteris dilatata;Brede stekelvaren;2;Pct
380;Juncus effusus;Pitrus;2;Pct
380;Molinia caerulea;Pijpenstrootje;2;Pct
380;Poa annua;Straatgras;4;Pct
380;Pteridium aquilinum;Adelaarsvaren;3;Pct
380;Rubus fruticosus agg.;Gewone braam;38;Pct
380;Rumex acetosella;Schapenzuring;2;Pct
380;Vaccinium myrtillus;Blauwe bosbes;1;Pct
381;Cytisus scoparius;Brem;1;Pct
381;Dryopteris dilatata;Brede stekelvaren;1;Pct
381;Polygonum persicaria;Perzikkruid;1;Pct
381;Rubus fruticosus agg.;Gewone braam;1;Pct
381;Rumex acetosella;Schapenzuring;3;Pct
381;Senecio jacobaea;Jakobskruiskruid;1;Pct
381;Stellaria media;Vogelmuur;2;Pct
381;Urtica dioica;Grote brandnetel;1;Pct
382;Deschampsia flexuosa;Bochtige smele;4;Pct
382;Dryopteris carthusiana;Smalle stekelvaren;1;Pct
382;Rubus fruticosus agg.;Gewone braam;1;Pct
382;Rumex acetosa;Veldzuring;1;Pct
382;Rumex acetosella;Schapenzuring;3;Pct
383;Athyrium filix-femina;Wijfjesvaren;1;Pct
383;Berula erecta;Kleine watereppe;2;Pct
383;Carex sylvatica;Boszegge;2;Pct
383;Circaea lutetiana;Groot heksenkruid;3;Pct
383;Convallaria majalis;Lelietje-van-dalen;3;Pct
383;Filipendula ulmaria;Moerasspirea;4;Pct
383;Galium palustre;Moeraswalstro;1;Pct
383;Hedera helix;Klimop;8;Pct
383;Lonicera periclymenum;Wilde kamperfoelie;2;Pct
383;Polygonatum multiflorum;Gewone salomonszegel;3;Pct
383;Pteridium aquilinum;Adelaarsvaren;3;Pct
383;Rubus fruticosus agg.;Gewone braam;38;Pct
383;Stellaria media;Vogelmuur;2;Pct
383;Urtica dioica;Grote brandnetel;8;Pct
383;Viburnum opulus;Gelderse roos;2;Pct
400;Deschampsia flexuosa;Bochtige smele;88;Pct
400;Dryopteris dilatata;Brede stekelvaren;3;Pct
400;Rubus fruticosus agg.;Gewone braam;8;Pct
401;Deschampsia flexuosa;Bochtige smele;88;Pct
401;Dryopteris carthusiana;Smalle stekelvaren;1;Pct
402;Deschampsia flexuosa;Bochtige smele;18;Pct
403;Lonicera periclymenum;Wilde kamperfoelie;2;Pct
403;Rubus fruticosus agg.;Gewone braam;2;Pct
404;Calluna vulgaris;Struikhei;1;Pct
404;Corynephorus canescens;Buntgras;3;Pct
404;Cytisus scoparius;Brem;2;Pct
404;Deschampsia flexuosa;Bochtige smele;88;Pct
404;Dryopteris dilatata;Brede stekelvaren;1;Pct
