Key;Bostype;Score
379;A;0,048
379;B;0,104
379;C1;0,217
379;C2;0,171
379;C3;0,329
379;D1;0,165
379;D2;0,173
379;D3;0,298
379;D4;0,084
379;D5;0,121
379;D6;0,134
379;E1;0,109
379;E2;0,057
379;F;0,078
379;G1a;0,073
379;G1b;0,031
379;G2a;0,099
379;G2b;0,094
379;G3;0,165
379;G4;0,127
379;H1;0,148
379;H2a;0,254
379;H2b;0,164
379;H3a;0,164
379;H3b;0,111
379;H3c;0,102
379;I1;0,391
379;I2a;0,086
379;I2b;0,084
379;I2c;0,063
379;I2d;0,062
379;I2e;0,021
379;I3;0,115
379;I4;0,046
379;I5;0,016
379;I6;0,074
379;J1;0,216
379;J2;0,06
379;J3;0,088
380;A;0,001
380;B;0
380;C1;0,001
380;C2;0,016
380;C3;0,035
380;D1;0,015
380;D2;0,004
380;D3;0,063
380;D4;0,009
380;D5;0,034
380;D6;0,046
380;E1;0,007
380;E2;0,001
380;F;0,006
380;G1a;0,021
380;G1b;0,009
380;G2a;0,014
380;G2b;0,047
380;G3;0,037
380;G4;0,054
380;H1;0,132
380;H2a;0,171
380;H2b;0,118
380;H3a;0,309
380;H3b;1,019
380;H3c;0,092
380;I1;0,344
380;I2a;0,618
380;I2b;0,796
380;I2c;0,278
380;I2d;0,492
380;I2e;0,181
380;I3;0,264
380;I4;0,167
380;I5;0,018
380;I6;0,191
380;J1;0,349
380;J2;0,14
380;J3;0,121
381;A;0,129
381;B;0,031
381;C1;0,025
381;C2;0,004
381;C3;0,061
381;D1;0,056
381;D2;0,069
381;D3;0,18
381;D4;0,044
381;D5;0,047
381;D6;0,085
381;E1;0,075
381;E2;0,019
381;F;0,033
381;G1a;0,062
381;G1b;0,023
381;G2a;0,051
381;G2b;0,081
381;G3;0,075
381;G4;0,065
381;H1;0,096
381;H2a;0,266
381;H2b;0,079
381;H3a;0,055
381;H3b;0,106
381;H3c;0,12
381;I1;0,404
381;I2a;0,074
381;I2b;0,121
381;I2c;0,102
381;I2d;0,106
381;I2e;0,133
381;I3;0,184
381;I4;0,09
381;I5;0,034
381;I6;0,22
381;J1;0,138
381;J2;0,037
381;J3;0,022
382;A;0,002
382;B;0
382;C1;0,002
382;C2;0,009
382;C3;0,028
382;D1;0,018
382;D2;0,013
382;D3;0,05
382;D4;0,014
382;D5;0,018
382;D6;0,034
382;E1;0,007
382;E2;0,001
382;F;0,004
382;G1a;0,033
382;G1b;0,018
382;G2a;0,044
382;G2b;0,06
382;G3;0,074
382;G4;0,062
382;H1;0,107
382;H2a;0,235
382;H2b;0,084
382;H3a;0,088
382;H3b;0,094
382;H3c;0,097
382;I1;0,218
382;I2a;0,18
382;I2b;0,317
382;I2c;0,42
382;I2d;0,23
382;I2e;0,157
382;I3;0,257
382;I4;0,102
382;I5;0,026
382;I6;0,224
382;J1;0,197
382;J2;0,079
382;J3;0,038
383;A;0,022
383;B;0,025
383;C1;0,092
383;C2;0,127
383;C3;0,187
383;D1;0,178
383;D2;0,087
383;D3;0,167
383;D4;0,1
383;D5;0,197
383;D6;0,247
383;E1;0,171
383;E2;0,029
383;F;0,091
383;G1a;0,202
383;G1b;0,143
383;G2a;0,205
383;G2b;0,296
383;G3;0,437
383;G4;0,232
383;H1;0,468
383;H2a;0,203
383;H2b;0,416
383;H3a;0,527
383;H3b;1,083
383;H3c;0,1
383;I1;0,23
383;I2a;0,249
383;I2b;0,025
383;I2c;0,012
383;I2d;0,012
383;I2e;0,003
383;I3;0,032
383;I4;0,017
383;I5;0,004
383;I6;0,035
383;J1;0,091
383;J2;0,011
383;J3;0,042
400;A;0,001
400;B;0
400;C1;0,002
400;C2;0,002
400;C3;0,018
400;D1;0,012
400;D2;0,006
400;D3;0,051
400;D4;0,009
400;D5;0,013
400;D6;0,022
400;E1;0,009
400;E2;0
400;F;0,003
400;G1a;0,017
400;G1b;0,006
400;G2a;0,029
400;G2b;0,056
400;G3;0,055
400;G4;0,037
400;H1;0,066
400;H2a;0,209
400;H2b;0,057
400;H3a;0,045
400;H3b;0,074
400;H3c;0,06
400;I1;0,36
400;I2a;0,067
400;I2b;0,183
400;I2c;0,185
400;I2d;0,106
400;I2e;0,044
400;I3;0,149
400;I4;0,06
400;I5;0,015
400;I6;0,026
400;J1;0,101
400;J2;0,019
400;J3;0,012
401;A;0
401;B;0
401;C1;0,001
401;C2;0,006
401;C3;0,013
401;D1;0,002
401;D2;0
401;D3;0,01
401;D4;0,004
401;D5;0,001
401;D6;0,003
401;E1;0
401;E2;0
401;F;0
401;G1a;0,005
401;G1b;0,004
401;G2a;0,003
401;G2b;0,009
401;G3;0,007
401;G4;0,022
401;H1;0,038
401;H2a;0,18
401;H2b;0,028
401;H3a;0,017
401;H3b;0,002
401;H3c;0,037
401;I1;0,076
401;I2a;0,043
401;I2b;0,105
401;I2c;0,176
401;I2d;0,081
401;I2e;0,028
401;I3;0,096
401;I4;0,022
401;I5;0,003
401;I6;0,024
401;J1;0,096
401;J2;0,047
401;J3;0,021
402;A;0
402;B;0
402;C1;0
402;C2;0
402;C3;0
402;D1;0
402;D2;0
402;D3;0
402;D4;0
402;D5;0
402;D6;0
402;E1;0
402;E2;0
402;F;0
402;G1a;0
402;G1b;0
402;G2a;0
402;G2b;0
402;G3;0
402;G4;0
402;H1;0
402;H2a;0
402;H2b;0,001
402;H3a;0,013
402;H3b;0,005
402;H3c;0,001
402;I1;0,005
402;I2a;0,076
402;I2b;0,129
402;I2c;0,097
402;I2d;0,079
402;I2e;0,024
402;I3;0,065
402;I4;0,012
402;I5;0
402;I6;0,026
402;J1;0,005
402;J2;0,002
402;J3;0
403;A;0
403;B;0
403;C1;0,001
403;C2;0,002
403;C3;0,014
403;D1;0,012
403;D2;0,005
403;D3;0,043
403;D4;0,007
403;D5;0,018
403;D6;0,025
403;E1;0,005
403;E2;0
403;F;0,004
403;G1a;0,023
403;G1b;0,01
403;G2a;0,052
403;G2b;0,062
403;G3;0,114
403;G4;0,049
403;H1;0,089
403;H2a;0,036
403;H2b;0,101
403;H3a;0,114
403;H3b;0,078
403;H3c;0,052
403;I1;0,173
403;I2a;0,059
403;I2b;0,039
403;I2c;0,016
403;I2d;0,025
403;I2e;0,007
403;I3;0,051
403;I4;0,026
403;I5;0,014
403;I6;0,013
403;J1;0,093
403;J2;0,023
403;J3;0,018
404;A;0,001
404;B;0
404;C1;0,001
404;C2;0,001
404;C3;0,012
404;D1;0,002
404;D2;0
404;D3;0,019
404;D4;0,004
404;D5;0,001
404;D6;0,003
404;E1;0,007
404;E2;0
404;F;0,001
404;G1a;0,006
404;G1b;0,002
404;G2a;0
404;G2b;0,025
404;G3;0,005
404;G4;0,012
404;H1;0,028
404;H2a;0,204
404;H2b;0,025
404;H3a;0,012
404;H3b;0,027
404;H3c;0,045
404;I1;0,26
404;I2a;0,146
404;I2b;0,137
404;I2c;0,27
404;I2d;0,219
404;I2e;0,298
404;I3;0,136
404;I4;0,082
404;I5;0,015
404;I6;0,033
404;J1;0,049
404;J2;0,031
404;J3;0,006
;;
